Availability;DataSheetUrl;Description;FactoryStock;ImagePath;Category;LeadTime;LifecycleStatus;Manufacturer;ManufacturerPartNumber;Min;Mult;MouserPartNumber;AlternatePackagings;ProductDetailUrl;Reeling;ROHSStatus;SuggestedReplacement;MultiSimBlue;AvailabilityInStock
6 In Stock;https://www.mouser.com/datasheet/2/1386/Datasheet_MokuGo-3010034.pdf;Benchtop Oscilloscopes Moku:Go is a complete lab solution for engineers and students, featuring 10 instruments, a full range of connectivity and a 4-ch. power supply. An intuitive user interface (UI) is included for Windows and Mac.;0;https://www.mouser.com/images/liquidinstruments/images/MokuGo_1080_stormbg_SPL.jpg;Benchtop Oscilloscopes;13 Days;New at Mouser;Liquid Instruments;MOKU:GO M2 (STORM);1;1;792-MOKU-GO-M2-STM;None;https://eu.mouser.com/ProductDetail/Liquid-Instruments/MOKUGO-M2-STORM?qs=XAiT9M5g4x80PwRZZJGkxQ%3D%3D;False;RoHS Compliant;;0;6
16 In Stock;https://www.mouser.com/datasheet/2/1386/Datasheet_MokuGo-3010034.pdf;Benchtop Oscilloscopes Moku:Go is a complete lab solution for engineers and students, featuring 10 instruments and a full range of connectivity. An intuitive user interface (UI) is included for Windows and Mac.;0;https://www.mouser.com/images/liquidinstruments/images/MokuGo_1080_stormbg_SPL.jpg;Benchtop Oscilloscopes;11 Days;New at Mouser;Liquid Instruments;MOKU:GO M0 (STORM);1;1;792-MOKU-GO-M0-STM;None;https://eu.mouser.com/ProductDetail/Liquid-Instruments/MOKUGO-M0-STORM?qs=XAiT9M5g4x8MiKyz%2FUaNlw%3D%3D;False;RoHS Compliant;;0;16
5 In Stock;https://www.mouser.com/datasheet/2/1386/Datasheet_MokuGo-3010034.pdf;Benchtop Oscilloscopes Moku:Go is a complete lab solution for engineers and students, featuring 10 instruments, a full range of connectivity and a 2-ch. power supply. An intuitive user interface (UI) is included for Windows and Mac.;0;https://www.mouser.com/images/liquidinstruments/images/MokuGo_1080_stormbg_SPL.jpg;Benchtop Oscilloscopes;81 Days;New at Mouser;Liquid Instruments;MOKU:GO M1 (STORM);1;1;792-MOKU-GO-M1-STM;None;https://eu.mouser.com/ProductDetail/Liquid-Instruments/MOKUGO-M1-STORM?qs=XAiT9M5g4x%2FatIS4TiiBmg%3D%3D;False;RoHS Compliant;;0;5
5 In Stock;https://www.mouser.com/datasheet/2/707/2220_Datasheet_Nov_2020-3108205.pdf;Input Devices;0;None;Input Devices;49 Days;None;Storm Interface;2220-552016;1;1;491-2220-55201;None;https://eu.mouser.com/ProductDetail/Storm-Interface/2220-552016?qs=amGC7iS6iy8%2FQHX6z%2FWJxA%3D%3D;False;RoHS Compliant;;0;5
2 In Stock;;Input Devices 5000 Series Int & GFX keys;0;https://www.mouser.com/images/storminterface/images/FT4K090_SPL.jpg;Input Devices;0 Days;None;Storm Interface;FT4K0903;1;1;491-FT4K090;None;https://eu.mouser.com/ProductDetail/Storm-Interface/FT4K0903?qs=X772OquulpU0Ta%2F0qhV7VQ%3D%3D;False;RoHS Compliant;;0;2
25 In Stock;https://www.mouser.com/datasheet/2/707/ile-1440156186-1131984.pdf;Switch Cases / Switch Covers 700 Series 12 Keys Grey;0;https://www.mouser.com/images/storminterface/images/700_series_12-key_SPL.jpg;Switch Cases / Switch Covers;60 Days;None;Storm Interface;70120103;1;1;491-7012010;None;https://eu.mouser.com/ProductDetail/Storm-Interface/70120103?qs=X772OquulpU2VHsQeqiWIw%3D%3D;False;RoHS Compliant;;0;25
49 In Stock;https://www.mouser.com/datasheet/2/707/ile-1440156186-1131984.pdf;Switch Cases / Switch Covers 700 Series 16 Keys Black;0;https://www.mouser.com/images/storminterface/images/700_series_16-key_SPL.jpg;Switch Cases / Switch Covers;27 Days;None;Storm Interface;70160203;1;1;491-7016020;None;https://eu.mouser.com/ProductDetail/Storm-Interface/70160203?qs=X772OquulpWOB%2FC%252BbEQzFg%3D%3D;False;RoHS Compliant;;0;49
11 In Stock;https://www.mouser.com/datasheet/2/707/ile-1440156186-1131984.pdf;Switch Cases / Switch Covers 700 Series tile set A;0;https://www.mouser.com/images/storminterface/images/70A0010_SPL.jpg;Switch Cases / Switch Covers;0 Days;None;Storm Interface;70A00103;1;1;491-70A0010;None;https://eu.mouser.com/ProductDetail/Storm-Interface/70A00103?qs=X772OquulpXfZc%252BOXWyjKg%3D%3D;False;RoHS Compliant;;0;11
64 In Stock;https://www.mouser.com/datasheet/2/707/ile-1395244876-1131357.pdf;Input Devices PLX Series 12 Keys standard telephone;0;https://www.mouser.com/images/storminterface/images/PLX12T20_SPL.jpg;Input Devices;28 Days;None;Storm Interface;PLX12T203;1;1;491-PLX12T20;None;https://eu.mouser.com/ProductDetail/Storm-Interface/PLX12T203?qs=X772OquulpVvEvC0vE4QfQ%3D%3D;False;RoHS Compliant;;0;64
9 In Stock;https://www.mouser.com/datasheet/2/707/Storm-Interface-1285346.pdf;Input Devices Nav-Pad Audio, 6 Key keypad with audio;0;https://www.mouser.com/images/storminterface/images/EZ06-230013.jpg;Input Devices;70 Days;None;Storm Interface;EZ06-23001;1;1;491-EZ06-23001;None;https://eu.mouser.com/ProductDetail/Storm-Interface/EZ06-23001?qs=VO84H151%252BnO5gsGLBqt%252BuQ%3D%3D;False;RoHS Compliant;;0;9
